City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Tagusao,PH,75.11,light rain,9.1924,117.8141,Caycay future beach resort
156,Saint-Joseph,RE,68.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
160,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,Pirineos
161,Tres Arroyos,AR,67.15,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
162,Wewak,PG,78.12,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
164,Saint-Medard-En-Jalles,FR,77.31,broken clouds,44.8969,-0.7214,ibis Styles Bordeaux Saint-Médard
165,Bambous Virieux,MU,70.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
170,Plouzane,FR,77.18,clear sky,48.3833,-4.6167,Lymina
177,Norman Wells,CA,68.04,broken clouds,65.282,-126.8329,Heritage Hotel
188,Vila Franca Do Campo,PT,79.21,light rain,37.7167,-25.4333,Pestana Bahia Praia
193,Sayyan,YE,69.44,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
195,San Jose,US,78.84,clear sky,37.3394,-121.895,The Westin San Jose
196,Kindu,CD,73.38,light rain,-2.95,25.95,Résidence Okanda
198,Goma,CD,68.11,overcast clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
201,Kailua,US,78.49,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
202,Roebourne,AU,72.36,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
203,Half Moon Bay,US,73.53,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
204,Hongjiang,CN,79.23,scattered clouds,27.11,109.9956,洪江大酒店
211,Buchmany,UA,76.3,overcast clouds,51.0689,28.0421,Nick's Place Hotel
218,Les Herbiers,FR,69.51,few clouds,46.8667,-1.0167,Maison Marie Barrault
219,Arraial Do Cabo,BR,71.46,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
226,Tsogni,GA,73.0,overcast clouds,-2.7942,10.0988,
229,Salto,UY,72.55,few clouds,-31.3833,-57.9667,Gran Hotel Uruguay
230,Isangel,VU,74.59,overcast clouds,-19.55,169.2667,Tanna Lodge
231,Gamba,GA,73.09,overcast clouds,-2.65,10.0,
233,Lac Du Bonnet,CA,77.68,overcast clouds,50.2536,-96.0612,Drifter's Inn
235,Antsohihy,MG,70.7,clear sky,-14.8796,47.9875,Hotel de Ville
236,Bubaque,GW,79.11,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
238,Torbay,CA,71.28,overcast clouds,47.6666,-52.7314,Gallows Cove
240,San Policarpo,PH,77.95,overcast clouds,12.1791,125.5072,Agapita M. Nicart
242,Lata,PT,74.97,clear sky,40.1629,-8.3327,Casa Maquia
244,El Ocote,HN,79.57,broken clouds,15.4167,-86.5667,ALDEA DE TEGUAJINAL
246,Conde,BR,78.08,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
247,Vigrestad,NO,78.48,broken clouds,58.5667,5.7,Brusand Camping
249,Castro,BR,73.47,few clouds,-24.7911,-50.0119,CHACARA BAILLY
251,Kukuna,SL,77.54,moderate rain,9.4,-12.6667,
253,Balaipungut,ID,75.81,broken clouds,1.05,101.2833,
254,Klyuchi,RU,65.37,broken clouds,52.2667,79.1667,Vesolaya Mayovka
257,Peniche,PT,76.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
261,Opochka,RU,71.65,overcast clouds,56.7105,28.6617,Surgutneftegaz Motel
268,Tautira,PF,77.4,broken clouds,-17.7333,-149.15,Pension Oaoa
269,Harper,LR,75.49,overcast clouds,4.375,-7.7169,Screensaver
270,Roros,NO,75.04,clear sky,62.5747,11.3842,Erzscheidergården
272,Ha Tinh,VN,79.79,broken clouds,18.3333,105.9,Phú Quý
273,Ponta Delgada,PT,79.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
277,Salalah,OM,75.25,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
278,Hoi An,VN,76.96,few clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
279,Visnes,NO,77.38,clear sky,59.3556,5.2242,Park Inn Haugesund Airport
282,Narasannapeta,IN,77.41,moderate rain,18.4167,84.05,AVK events and catering
284,Ouadda,CF,68.88,overcast clouds,8.0777,22.4007,
287,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
290,Arkhipo-Osipovka,RU,76.41,clear sky,44.37,38.52,Zolotoy Kashtan Guest House
291,Finschhafen,PG,78.12,overcast clouds,-6.6024,147.8681,Cossam Guest House
293,Poum,NC,74.55,broken clouds,-20.2333,164.0167,
294,Shingu,JP,78.55,scattered clouds,33.7333,135.9833,Shingu UI Hotel
296,Azare,NG,76.53,overcast clouds,11.6765,10.1948,Mallam Ayuba Compound
297,Meulaboh,ID,78.49,moderate rain,4.1363,96.1285,Kost Pria
300,Lagoa,PT,75.92,clear sky,39.05,-27.9833,Casa Das Faias
301,Xiaoshi,CN,71.24,overcast clouds,41.2971,124.1209,Junsheng Fengweilou Farmstay
303,Ler,SS,70.2,light rain,8.3018,30.1418,Leer Humanitarian Hub
304,Changping,CN,73.04,broken clouds,40.2186,116.2197,Huachang Hotel
308,Saint-Marc-Des-Carrieres,CA,77.22,overcast clouds,46.6834,-72.0491,Larguer les samares
311,Necochea,AR,65.44,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
312,Matara,LK,78.49,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
315,Waw,SS,69.42,light rain,7.7029,27.9953,Universal Gab Hotel
316,Cedar City,US,72.57,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
317,Bardiyah,LY,79.99,clear sky,31.7561,25.0865,بورتو بردية
321,Cap Malheureux,MU,70.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
322,Svetlogorsk,BY,67.32,broken clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
323,Ostersund,SE,72.61,clear sky,63.1792,14.6357,Best Western Hotel Gamla Teatern
324,Mlonggo,ID,78.85,scattered clouds,-6.5333,110.7,Asia Metal Art
329,Bumba,CD,73.15,overcast clouds,2.1833,22.4667,Père Carlos
334,Thompson,CA,72.93,clear sky,55.7435,-97.8558,Burntwood Hotel
337,Honiara,SB,76.73,broken clouds,-9.4333,159.95,Heritage Park Hotel
340,Rajnagar,IN,78.75,overcast clouds,24.8833,79.9167,The LaLiT Temple View Khajuraho
341,Maldonado,UY,70.2,broken clouds,-34.6667,-54.9167,La Cimarrona
346,Caravelas,BR,76.06,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
347,Tura,IN,73.87,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
349,Colares,PT,77.99,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
351,Razole,IN,76.69,light rain,16.4833,81.8333,Sterling Palavelli Godavari
352,Pandan,PH,79.38,overcast clouds,14.0453,124.1694,Bonifacio Lodge
353,Padang,ID,79.09,overcast clouds,-0.9492,100.3543,Mercure Padang
354,Vaitape,PF,78.69,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
357,Stara Synyava,UA,71.4,overcast clouds,49.6032,27.6191,Готель Стара Синява LEX
358,Vanimo,PG,76.6,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
364,Atasu,KZ,72.88,clear sky,48.6814,71.6433,Қотақ соратын жер
365,Zaozerne,UA,78.55,clear sky,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
367,Malanje,AO,79.77,clear sky,-9.5402,16.341,Hotel Ginga
368,Saint Anthony,US,73.06,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
369,La Ronge,CA,67.21,broken clouds,55.1001,-105.2842,Northland Motor Hotel
371,Dingle,PH,75.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
372,Maamba,ZM,73.24,clear sky,-17.3667,27.15,
374,Kandrian,PG,76.12,light rain,-6.2167,149.55,Kandrian Station
378,Lhokseumawe,ID,78.22,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
380,Talgar,KZ,71.76,scattered clouds,43.3027,77.2395,fazenda Umihalyicha
386,Alofi,NU,72.88,overcast clouds,-19.0595,-169.9187,Taloa Heights
387,Lakatoro,VU,77.04,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
