City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Mezhdurechensk,RU,2022-08-14 00:43:57,53.6942,88.0603,59.7,96,100,8.21
144,Knysna,ZA,2022-08-14 00:43:57,-34.0363,23.0471,51.46,72,11,12.55
145,Goderich,CA,2022-08-14 00:43:05,43.7501,-81.7165,68.92,73,100,2.3
146,Bac Lieu,VN,2022-08-14 00:43:58,9.285,105.7244,81.59,78,7,7.49
147,Kapaa,US,2022-08-14 00:43:59,22.0752,-159.319,84.18,72,75,11.5
148,Bereda,ES,2022-08-14 00:43:59,43.2686,-7.5406,52.03,99,25,2.53
149,Sayyan,YE,2022-08-14 00:43:59,15.1718,44.3244,63.16,62,100,5.14
150,Te Anau,NZ,2022-08-14 00:44:00,-45.4167,167.7167,49.66,57,8,3.02
151,Ossora,RU,2022-08-14 00:44:00,59.2353,163.0719,62.33,82,63,8.14
152,Banda Aceh,ID,2022-08-14 00:44:01,5.5577,95.3222,80.64,72,77,7.54
153,Bathsheba,BB,2022-08-14 00:44:02,13.2167,-59.5167,77.61,94,75,2.3
154,Pierre,US,2022-08-14 00:44:02,44.3683,-100.351,85.12,48,0,14.97
155,Nemuro,JP,2022-08-14 00:44:03,43.3236,145.575,66.25,97,100,14.61
156,San Luis,AR,2022-08-14 00:44:03,-33.295,-66.3356,61.29,41,6,8.37
157,Chuy,UY,2022-08-14 00:44:03,-33.6971,-53.4616,54.27,91,4,5.37
158,Kiruna,SE,2022-08-14 00:44:04,67.8557,20.2251,47.32,71,96,11.5
159,Dorado,PR,2022-08-14 00:43:23,18.4588,-66.2677,82.35,85,4,8.48
160,Phalodi,IN,2022-08-14 00:44:04,27.1333,72.3667,79.9,79,98,11.36
161,College,US,2022-08-14 00:44:05,64.8569,-147.8028,75.07,58,75,3.44
162,Mount Gambier,AU,2022-08-14 00:41:17,-37.8333,140.7667,53.89,85,51,11.03
163,Airai,TL,2022-08-14 00:44:06,-8.9266,125.4092,71.13,41,38,5.23
164,Praia Da Vitoria,PT,2022-08-14 00:44:06,38.7333,-27.0667,77.25,88,20,8.9
165,Lebu,CL,2022-08-14 00:44:07,-37.6167,-73.65,49.28,86,100,4.85
166,Roald,NO,2022-08-14 00:44:07,62.5833,6.1333,61.75,88,100,4.61
