City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Tiksi,RU,71.6872,128.8694,41.02,94,100,5.64,overcast clouds
143,Chopovychi,UA,50.8332,28.9533,76.86,53,100,13.24,overcast clouds
144,Port Blair,IN,11.6667,92.75,78.84,89,40,1.14,mist
145,Souillac,MU,-20.5167,57.5167,70.18,73,75,16.11,broken clouds
146,Hamilton,US,39.1834,-84.5333,70.43,46,58,7.49,broken clouds
147,Garden City,US,42.3256,-83.331,72.82,70,97,5.39,overcast clouds
148,Gwanda,ZW,-20.9333,29.0,73.36,18,0,6.8,clear sky
149,Orizona,BR,-17.0314,-48.2958,85.51,22,0,7.47,clear sky
150,Bethel,US,41.3712,-73.414,82.89,49,85,1.01,overcast clouds
151,Pisco,PE,-13.7,-76.2167,63.01,82,40,10.36,mist
152,Fauske,NO,67.2588,15.3918,60.78,56,86,4.0,overcast clouds
153,Tagusao,PH,9.1924,117.8141,75.11,90,100,8.03,light rain
154,College,US,64.8569,-147.8028,61.29,82,98,1.74,overcast clouds
155,Itaituba,BR,-4.2761,-55.9836,87.96,66,40,11.5,scattered clouds
156,Saint-Joseph,RE,-21.3667,55.6167,68.38,73,33,12.95,scattered clouds
157,Trelew,AR,-43.249,-65.3051,58.46,25,98,28.95,overcast clouds
158,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,92.86,44,9,3.85,clear sky
159,Lebu,CL,-37.6167,-73.65,48.4,90,99,20.2,overcast clouds
160,San Cristobal,VE,7.7669,-72.225,78.98,51,20,7.94,few clouds
161,Tres Arroyos,AR,-38.3739,-60.2798,67.15,60,100,9.69,overcast clouds
162,Wewak,PG,-3.5534,143.6268,78.12,84,100,1.07,overcast clouds
163,Khuzhir,RU,53.1939,107.3397,57.27,76,44,2.75,scattered clouds
164,Saint-Medard-En-Jalles,FR,44.8969,-0.7214,77.31,53,75,12.66,broken clouds
165,Bambous Virieux,MU,-20.3428,57.7575,70.21,73,75,16.11,broken clouds
166,Bilimbay,RU,56.9689,59.8149,57.24,62,95,4.79,overcast clouds
167,Valdivia,CL,-39.8142,-73.2459,46.49,94,100,7.65,overcast clouds
168,Sidi Ali,DZ,36.0998,0.4206,83.16,58,47,16.04,scattered clouds
169,Mount Gambier,AU,-37.8333,140.7667,49.59,92,95,9.84,overcast clouds
170,Plouzane,FR,48.3833,-4.6167,77.18,72,0,11.5,clear sky
171,Georgetown,MY,5.4112,100.3354,84.88,84,40,4.61,light rain
172,Te Anau,NZ,-45.4167,167.7167,34.36,93,100,1.41,overcast clouds
173,Aleksandrov Gay,RU,50.147,48.5704,83.93,23,68,8.01,broken clouds
174,Sitka,US,57.0531,-135.33,57.85,95,100,2.71,moderate rain
175,Graulhet,FR,43.7669,1.9894,88.93,36,23,14.88,few clouds
176,Buraydah,SA,26.326,43.975,104.45,10,7,11.12,clear sky
177,Norman Wells,CA,65.282,-126.8329,68.04,60,75,11.5,broken clouds
178,Barrow,US,71.2906,-156.7887,33.82,86,100,8.05,overcast clouds
179,Waverley,ZA,-25.7023,28.2591,61.84,13,0,12.66,clear sky
180,Puerto Escondido,MX,15.85,-97.0667,86.0,60,100,4.68,overcast clouds
181,Clyde River,CA,70.4692,-68.5914,48.43,76,75,4.61,broken clouds
182,Berdigestyakh,RU,62.0989,126.6992,55.2,98,99,4.25,light rain
183,Codrington,AU,-38.2667,141.9667,50.38,87,100,15.59,overcast clouds
184,Maceio,BR,-9.6658,-35.7353,85.44,51,75,11.5,broken clouds
185,Naze,JP,28.3667,129.4833,81.01,81,68,14.23,broken clouds
186,Bela,IN,25.9333,81.9833,85.08,68,97,12.46,overcast clouds
187,Charters Towers,AU,-20.1,146.2667,54.39,37,35,10.65,scattered clouds
188,Vila Franca Do Campo,PT,37.7167,-25.4333,79.21,76,19,8.57,light rain
189,Dikson,RU,73.5069,80.5464,42.42,99,100,2.1,light rain
190,Mecca,SA,21.4267,39.8261,94.75,32,89,7.94,overcast clouds
191,Cabo San Lucas,MX,22.8909,-109.9124,93.61,74,67,3.0,broken clouds
192,Abu Samrah,SY,35.3029,37.1841,80.38,47,0,17.4,clear sky
193,Sayyan,YE,15.1718,44.3244,69.44,45,100,1.01,overcast clouds
194,Savannah Bight,HN,16.45,-85.85,82.62,77,39,14.45,scattered clouds
195,San Jose,US,37.3394,-121.895,78.84,59,0,3.44,clear sky
196,Kindu,CD,-2.95,25.95,73.38,84,100,3.24,light rain
197,Mettur,IN,11.8,77.8,80.82,65,84,2.13,broken clouds
198,Goma,CD,-1.6792,29.2228,68.11,74,97,1.52,overcast clouds
199,Muroto,JP,33.2833,134.15,83.44,86,47,10.63,scattered clouds
200,Guerrero Negro,MX,27.9769,-114.0611,80.98,53,35,9.13,scattered clouds
201,Kailua,US,21.4022,-157.7394,78.49,77,10,1.01,clear sky
202,Roebourne,AU,-20.7833,117.1333,72.36,59,0,2.64,light rain
203,Half Moon Bay,US,37.4636,-122.4286,73.53,78,100,9.22,mist
204,Hongjiang,CN,27.11,109.9956,79.23,85,50,3.76,scattered clouds
205,Christchurch,NZ,-43.5333,172.6333,28.6,100,100,1.14,fog
206,Moose Factory,CA,51.2585,-80.6094,60.78,67,100,8.05,overcast clouds
207,Grindavik,IS,63.8424,-22.4338,54.07,66,20,18.41,few clouds
208,Oshnaviyeh,IR,37.0397,45.0983,80.42,23,0,7.18,clear sky
209,Hami,CN,42.8,93.45,82.83,21,0,10.63,clear sky
210,Geraldton,AU,-28.7667,114.6,50.41,87,0,11.5,clear sky
211,Buchmany,UA,51.0689,28.0421,76.3,53,100,9.71,overcast clouds
212,Burewala,PK,30.1667,72.65,90.75,52,75,3.49,broken clouds
213,Cherskiy,RU,68.75,161.3,34.61,90,88,10.45,overcast clouds
214,Olinda,BR,-8.0089,-34.8553,80.33,61,40,13.8,scattered clouds
215,Maningrida,AU,-12.0667,134.2667,63.66,81,14,9.69,few clouds
216,Mizdah,LY,31.4451,12.9801,98.31,15,0,12.15,clear sky
